
--- RSI|VP-buy m1% (346 entries, 5457%) ---
  SELL | 2024-07-04 13:00 | $    57,248 | Cap: $   269,733 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-07-06 23:00 | $    58,106 | Cap: $   269,733 | RSI>75
  SELL | 2024-07-25 12:00 | $    64,096 | Cap: $   297,537 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-07-26 03:00 | $    67,014 | Cap: $   297,537 | RSI>75
  SELL | 2024-08-01 04:00 | $    63,936 | Cap: $   283,871 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-08-08 16:00 | $    59,428 | Cap: $   283,871 | RSI>75
  SELL | 2024-08-27 23:00 | $    59,507 | Cap: $   284,248 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-09-09 13:00 | $    55,341 | Cap: $   284,248 | RSI>75
  SELL | 2024-10-01 18:00 | $    62,152 | Cap: $   319,231 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-10-07 01:00 | $    63,678 | Cap: $   319,231 | RSI>75
  SELL | 2024-10-09 21:00 | $    60,420 | Cap: $   302,898 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-10-11 15:00 | $    61,754 | Cap: $   302,898 | RSI>75
  SELL | 2024-10-23 17:00 | $    65,878 | Cap: $   323,128 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-10-28 22:00 | $    69,791 | Cap: $   323,128 | RSI>75
  SELL | 2024-11-03 03:00 | $    68,215 | Cap: $   315,831 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-11-05 19:00 | $    70,230 | Cap: $   315,831 | RSI>75
  SELL | 2024-11-26 | $    93,010 | Cap: $   418,275 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-11-27 17:00 | $    95,689 | Cap: $   418,275 | RSI>75
  SELL | 2024-12-06 01:00 | $    97,552 | Cap: $   426,417 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-12-06 20:00 | $   101,440 | Cap: $   426,417 | RSI>75
  SELL | 2024-12-20 09:00 | $    95,474 | Cap: $   401,337 | RSI<30+VP<VAL-1%(7d)
   BUY | 2024-12-21 09:00 | $    98,650 | Cap: $   401,337 | RSI>75
  SELL | 2025-01-27 02:00 | $   101,308 | Cap: $   412,152 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-01-28 15:00 | $   102,642 | Cap: $   412,152 | RSI>75
  SELL | 2025-02-02 18:00 | $    97,229 | Cap: $   390,416 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-02-03 23:00 | $   101,696 | Cap: $   390,416 | RSI>75
  SELL | 2025-02-24 23:00 | $    92,432 | Cap: $   354,853 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-03-01 04:00 | $    85,331 | Cap: $   354,853 | RSI>75
  SELL | 2025-03-09 13:00 | $    84,600 | Cap: $   351,813 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-03-14 15:00 | $    83,525 | Cap: $   351,813 | RSI>75
  SELL | 2025-03-28 12:00 | $    85,255 | Cap: $   359,102 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-04-01 17:00 | $    85,120 | Cap: $   359,102 | RSI>75
  SELL | 2025-04-06 19:00 | $    79,107 | Cap: $   333,736 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-04-13 | $    85,277 | Cap: $   333,736 | RSI>75
  SELL | 2025-05-30 | $   105,590 | Cap: $   413,231 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-06-06 18:00 | $   104,922 | Cap: $   413,231 | RSI>75
  SELL | 2025-07-25 06:00 | $   115,500 | Cap: $   454,892 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-07-26 12:00 | $   117,776 | Cap: $   454,892 | RSI>75
  SELL | 2025-08-01 07:00 | $   115,157 | Cap: $   444,774 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-08-03 17:00 | $   113,995 | Cap: $   444,774 | RSI>75
  SELL | 2025-08-18 02:00 | $   116,270 | Cap: $   453,648 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-08-22 17:00 | $   116,146 | Cap: $   453,648 | RSI>75
  SELL | 2025-08-25 11:00 | $   110,984 | Cap: $   433,484 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-09-10 13:00 | $   113,414 | Cap: $   433,484 | RSI>75
  SELL | 2025-09-22 06:00 | $   113,691 | Cap: $   434,546 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-09-28 22:00 | $   110,834 | Cap: $   434,546 | RSI>75
  SELL | 2025-10-10 18:00 | $   117,624 | Cap: $   461,166 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-10-12 22:00 | $   114,882 | Cap: $   461,166 | RSI>75
  SELL | 2025-10-17 08:00 | $   105,634 | Cap: $   424,041 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-10-20 06:00 | $   111,034 | Cap: $   424,041 | RSI>75
  SELL | 2025-10-30 05:00 | $   108,575 | Cap: $   414,652 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-11-10 | $   104,723 | Cap: $   414,652 | RSI>75
  SELL | 2025-11-14 05:00 | $    97,824 | Cap: $   387,335 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-11-27 07:00 | $    91,245 | Cap: $   387,335 | RSI>75
  SELL | 2025-12-01 01:00 | $    87,000 | Cap: $   369,317 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-12-02 14:00 | $    87,731 | Cap: $   369,317 | RSI>75
  SELL | 2025-12-05 17:00 | $    88,811 | Cap: $   373,861 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-12-18 16:00 | $    88,513 | Cap: $   373,861 | RSI>75
  SELL | 2026-01-19 15:00 | $    92,812 | Cap: $   392,019 | RSI<30+VP<VAL-1%(7d)
   BUY | 2026-02-13 16:00 | $    68,692 | Cap: $   392,019 | RSI>75

  ======================================================================
  [Last 1Y Summary] 2025-02-17 ~ 2026-02-17
  Return: 6.1%  |  Sharpe: 0.346  |  MaxDD: -27.8%  |  Trades: 17
  Win rate: 50% (8W/8L)  |  Avg win: +6.3%  |  Avg loss: -4.5%
  ----------------------------------------------------------------------
  SELL | 2025-02-24 23:00 | $    92,432 | Cap: $   354,853 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-03-01 04:00 | $    85,331 | Cap: $   354,853 | RSI>75
  SELL | 2025-03-09 13:00 | $    84,600 | Cap: $   351,813 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-03-14 15:00 | $    83,525 | Cap: $   351,813 | RSI>75
  SELL | 2025-03-28 12:00 | $    85,255 | Cap: $   359,102 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-04-01 17:00 | $    85,120 | Cap: $   359,102 | RSI>75
  SELL | 2025-04-06 19:00 | $    79,107 | Cap: $   333,736 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-04-13 | $    85,277 | Cap: $   333,736 | RSI>75
  SELL | 2025-05-30 | $   105,590 | Cap: $   413,231 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-06-06 18:00 | $   104,922 | Cap: $   413,231 | RSI>75
  SELL | 2025-07-25 06:00 | $   115,500 | Cap: $   454,892 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-07-26 12:00 | $   117,776 | Cap: $   454,892 | RSI>75
  SELL | 2025-08-01 07:00 | $   115,157 | Cap: $   444,774 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-08-03 17:00 | $   113,995 | Cap: $   444,774 | RSI>75
  SELL | 2025-08-18 02:00 | $   116,270 | Cap: $   453,648 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-08-22 17:00 | $   116,146 | Cap: $   453,648 | RSI>75
  SELL | 2025-08-25 11:00 | $   110,984 | Cap: $   433,484 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-09-10 13:00 | $   113,414 | Cap: $   433,484 | RSI>75
  SELL | 2025-09-22 06:00 | $   113,691 | Cap: $   434,546 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-09-28 22:00 | $   110,834 | Cap: $   434,546 | RSI>75
  SELL | 2025-10-10 18:00 | $   117,624 | Cap: $   461,166 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-10-12 22:00 | $   114,882 | Cap: $   461,166 | RSI>75
  SELL | 2025-10-17 08:00 | $   105,634 | Cap: $   424,041 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-10-20 06:00 | $   111,034 | Cap: $   424,041 | RSI>75
  SELL | 2025-10-30 05:00 | $   108,575 | Cap: $   414,652 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-11-10 | $   104,723 | Cap: $   414,652 | RSI>75
  SELL | 2025-11-14 05:00 | $    97,824 | Cap: $   387,335 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-11-27 07:00 | $    91,245 | Cap: $   387,335 | RSI>75
  SELL | 2025-12-01 01:00 | $    87,000 | Cap: $   369,317 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-12-02 14:00 | $    87,731 | Cap: $   369,317 | RSI>75
  SELL | 2025-12-05 17:00 | $    88,811 | Cap: $   373,861 | RSI<30+VP<VAL-1%(7d)
   BUY | 2025-12-18 16:00 | $    88,513 | Cap: $   373,861 | RSI>75
  SELL | 2026-01-19 15:00 | $    92,812 | Cap: $   392,019 | RSI<30+VP<VAL-1%(7d)
   BUY | 2026-02-13 16:00 | $    68,692 | Cap: $   392,019 | RSI>75
  ======================================================================

--- RSI+VP-both m1% (118 entries, 1806%) ---
   BUY | 2018-02-14 16:00 | $     9,329 | Cap: $    10,000 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-02-23 01:00 | $     9,642 | Cap: $    10,335 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-02-27 09:00 | $    10,700 | Cap: $    10,335 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-03-07 07:00 | $    10,480 | Cap: $    10,123 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-03-21 05:00 | $     9,065 | Cap: $    10,123 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-03-26 12:00 | $     8,089 | Cap: $     9,033 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-04-03 19:00 | $     7,467 | Cap: $     9,033 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-05-11 07:00 | $     8,805 | Cap: $    10,651 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-06-02 09:00 | $     7,662 | Cap: $    10,651 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-06-10 01:00 | $     7,265 | Cap: $    10,099 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-06-18 22:00 | $     6,723 | Cap: $    10,099 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-06-22 09:00 | $     6,399 | Cap: $     9,613 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-06-30 02:00 | $     6,412 | Cap: $     9,613 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-07-10 12:00 | $     6,365 | Cap: $     9,542 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-07-16 10:00 | $     6,528 | Cap: $     9,542 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-07-30 18:00 | $     7,911 | Cap: $    11,564 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-08-22 02:00 | $     6,809 | Cap: $    11,564 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-09-06 | $     6,697 | Cap: $    11,374 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-09-21 12:00 | $     6,742 | Cap: $    11,374 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-10-11 02:00 | $     6,364 | Cap: $    10,736 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-10-15 06:00 | $     6,698 | Cap: $    10,736 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-10-29 12:00 | $     6,427 | Cap: $    10,303 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-11-07 01:00 | $     6,565 | Cap: $    10,303 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-11-14 16:00 | $     6,231 | Cap: $     9,779 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-11-28 15:00 | $     4,264 | Cap: $     9,779 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-12-03 16:00 | $     3,883 | Cap: $     8,906 | RSI<30+VP<VAL-1%(7d)
   BUY | 2018-12-17 19:00 | $     3,540 | Cap: $     8,906 | RSI>75+VP>VAH+1%(7d)
  SELL | 2018-12-25 04:00 | $     3,709 | Cap: $     9,331 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-01-06 18:00 | $     4,007 | Cap: $     9,331 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-01-10 07:00 | $     3,780 | Cap: $     8,801 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-01-19 11:00 | $     3,698 | Cap: $     8,801 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-01-28 04:00 | $     3,482 | Cap: $     8,286 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-02-08 17:00 | $     3,687 | Cap: $     8,286 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-02-24 15:00 | $     3,790 | Cap: $     8,517 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-03-16 04:00 | $     3,983 | Cap: $     8,517 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-03-21 15:00 | $     3,910 | Cap: $     8,362 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-03-29 12:00 | $     4,120 | Cap: $     8,362 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-04-12 02:00 | $     4,919 | Cap: $     9,982 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-04-17 12:00 | $     5,218 | Cap: $     9,982 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-05-17 04:00 | $     7,344 | Cap: $    14,051 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-05-19 05:00 | $     7,950 | Cap: $    14,051 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-05-31 13:00 | $     8,333 | Cap: $    14,727 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-06-14 22:00 | $     8,584 | Cap: $    14,727 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-07-01 18:00 | $    10,295 | Cap: $    17,662 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-07-08 20:00 | $    12,186 | Cap: $    17,662 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-07-13 21:00 | $    10,922 | Cap: $    15,830 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-07-31 16:00 | $    10,050 | Cap: $    15,830 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-08-11 | $    11,309 | Cap: $    17,814 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-08-19 23:00 | $    10,772 | Cap: $    17,814 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-08-24 11:00 | $     9,982 | Cap: $    16,508 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-09-02 18:00 | $    10,065 | Cap: $    16,508 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-09-09 08:00 | $    10,148 | Cap: $    16,643 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-10-09 16:00 | $     8,552 | Cap: $    16,643 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-10-15 21:00 | $     8,138 | Cap: $    15,837 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-10-21 11:00 | $     8,273 | Cap: $    15,837 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-10-23 13:00 | $     7,553 | Cap: $    14,460 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-10-25 16:00 | $     8,263 | Cap: $    14,460 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-11-08 11:00 | $     9,027 | Cap: $    15,796 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-11-28 07:00 | $     7,504 | Cap: $    15,796 | RSI>75+VP>VAH+1%(7d)
  SELL | 2019-12-10 16:00 | $     7,236 | Cap: $    15,232 | RSI<30+VP<VAL-1%(7d)
   BUY | 2019-12-18 23:00 | $     7,423 | Cap: $    15,232 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-01-02 17:00 | $     7,052 | Cap: $    14,472 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-01-07 01:00 | $     7,890 | Cap: $    14,472 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-01-23 12:00 | $     8,423 | Cap: $    15,451 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-01-27 20:00 | $     8,932 | Cap: $    15,451 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-02-15 17:00 | $     9,904 | Cap: $    17,132 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-03-05 12:00 | $     9,101 | Cap: $    17,132 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-03-07 19:00 | $     8,877 | Cap: $    16,711 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-03-19 14:00 | $     5,842 | Cap: $    16,711 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-03-28 04:00 | $     6,117 | Cap: $    17,496 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-04-02 17:00 | $     6,917 | Cap: $    17,496 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-04-13 14:00 | $     6,620 | Cap: $    16,746 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-04-16 23:00 | $     7,151 | Cap: $    16,746 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-04-20 20:00 | $     6,769 | Cap: $    15,851 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-04-23 15:00 | $     7,537 | Cap: $    15,851 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-05-10 17:00 | $     8,270 | Cap: $    17,392 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-05-14 03:00 | $     9,335 | Cap: $    17,392 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-05-21 10:00 | $     9,299 | Cap: $    17,324 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-06-02 | $    10,203 | Cap: $    17,324 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-06-11 16:00 | $     9,522 | Cap: $    16,167 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-06-22 18:00 | $     9,587 | Cap: $    16,167 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-06-25 04:00 | $     9,100 | Cap: $    15,346 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-07-06 16:00 | $     9,305 | Cap: $    15,346 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-07-16 10:00 | $     9,070 | Cap: $    14,958 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-07-21 08:00 | $     9,315 | Cap: $    14,958 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-08-11 20:00 | $    11,387 | Cap: $    18,285 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-08-17 16:00 | $    12,422 | Cap: $    18,285 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-08-21 22:00 | $    11,535 | Cap: $    16,980 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-09-14 14:00 | $    10,644 | Cap: $    16,980 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-09-21 13:00 | $    10,570 | Cap: $    16,863 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-10-08 15:00 | $    10,912 | Cap: $    16,863 | RSI>75+VP>VAH+1%(7d)
  SELL | 2020-11-26 05:00 | $    17,772 | Cap: $    27,463 | RSI<30+VP<VAL-1%(7d)
   BUY | 2020-12-13 08:00 | $    19,249 | Cap: $    27,463 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-01-11 07:00 | $    32,843 | Cap: $    46,858 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-01-28 22:00 | $    33,184 | Cap: $    46,858 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-02-23 09:00 | $    46,562 | Cap: $    65,749 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-03-03 14:00 | $    51,560 | Cap: $    65,749 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-03-23 | $    54,083 | Cap: $    68,967 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-04-10 05:00 | $    61,074 | Cap: $    68,967 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-04-18 01:00 | $    59,387 | Cap: $    67,062 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-04-30 16:00 | $    57,180 | Cap: $    67,062 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-05-11 03:00 | $    54,600 | Cap: $    64,036 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-06-13 21:00 | $    39,250 | Cap: $    64,036 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-06-18 19:00 | $    35,290 | Cap: $    57,574 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-07-24 06:00 | $    33,747 | Cap: $    57,574 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-08-26 16:00 | $    46,800 | Cap: $    79,844 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-09-02 12:00 | $    50,073 | Cap: $    79,844 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-09-07 15:00 | $    47,300 | Cap: $    75,423 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-10-01 11:00 | $    47,081 | Cap: $    75,423 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-10-27 09:00 | $    59,222 | Cap: $    94,872 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-10-28 14:00 | $    61,591 | Cap: $    94,872 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-11-16 02:00 | $    62,110 | Cap: $    95,672 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-11-29 01:00 | $    57,766 | Cap: $    95,672 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-12-03 18:00 | $    54,982 | Cap: $    91,062 | RSI<30+VP<VAL-1%(7d)
   BUY | 2021-12-21 10:00 | $    48,592 | Cap: $    91,062 | RSI>75+VP>VAH+1%(7d)
  SELL | 2021-12-28 18:00 | $    48,030 | Cap: $    90,010 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-01-31 22:00 | $    38,410 | Cap: $    90,010 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-02-17 18:00 | $    41,746 | Cap: $    97,828 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-02-28 17:00 | $    41,010 | Cap: $    97,828 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-03-03 20:00 | $    42,227 | Cap: $   100,730 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-03-09 04:00 | $    41,218 | Cap: $   100,730 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-03-31 20:00 | $    45,582 | Cap: $   111,396 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-04-19 14:00 | $    41,452 | Cap: $   111,396 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-05-01 | $    37,631 | Cap: $   101,128 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-05-05 | $    39,690 | Cap: $   101,128 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-05-05 16:00 | $    36,910 | Cap: $    94,044 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-05-30 03:00 | $    30,217 | Cap: $    94,044 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-06-02 10:00 | $    29,934 | Cap: $    93,166 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-06-06 22:00 | $    31,489 | Cap: $    93,166 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-06-10 14:00 | $    29,396 | Cap: $    86,974 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-07-05 01:00 | $    20,396 | Cap: $    86,974 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-07-11 02:00 | $    20,553 | Cap: $    87,644 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-07-18 16:00 | $    22,676 | Cap: $    87,644 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-07-25 12:00 | $    21,942 | Cap: $    84,808 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-08-08 08:00 | $    23,808 | Cap: $    84,808 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-08-18 04:00 | $    23,434 | Cap: $    83,479 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-09-09 05:00 | $    20,361 | Cap: $    83,479 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-09-13 22:00 | $    20,132 | Cap: $    82,537 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-09-27 04:00 | $    20,099 | Cap: $    82,537 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-10-08 05:00 | $    19,443 | Cap: $    79,842 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-10-25 16:00 | $    19,748 | Cap: $    79,842 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-11-02 23:00 | $    20,111 | Cap: $    81,308 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-11-04 15:00 | $    21,218 | Cap: $    81,308 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-11-08 05:00 | $    19,636 | Cap: $    75,245 | RSI<30+VP<VAL-1%(7d)
   BUY | 2022-12-13 10:00 | $    17,428 | Cap: $    75,245 | RSI>75+VP>VAH+1%(7d)
  SELL | 2022-12-30 14:00 | $    16,466 | Cap: $    71,091 | RSI<30+VP<VAL-1%(7d)
   BUY | 2023-01-04 18:00 | $    16,893 | Cap: $    71,091 | RSI>75+VP>VAH+1%(7d)
  SELL | 2023-02-09 04:00 | $    22,520 | Cap: $    94,770 | RSI<30+VP<VAL-1%(7d)
   BUY | 2023-02-15 13:00 | $    22,772 | Cap: $    94,770 | RSI>75+VP>VAH+1%(7d)
  SELL | 2023-02-22 16:00 | $    23,715 | Cap: $    98,693 | RSI<30+VP<VAL-1%(7d)
   BUY | 2023-03-12 23:00 | $    21,704 | Cap: $    98,693 | RSI>75+VP>VAH+1%(7d)
  SELL | 2023-03-27 15:00 | $    26,960 | Cap: $   122,596 | RSI<30+VP<VAL-1%(7d)
   BUY | 2023-04-10 17:00 | $    29,037 | Cap: $   122,596 | RSI>75+VP>VAH+1%(7d)
  SELL | 2023-04-17 14:00 | $    29,402 | Cap: $   124,138 | RSI<30+VP<VAL-1%(7d)
   BUY | 2023-04-26 09:00 | $    28,727 | Cap: $   124,138 | RSI>75+VP>VAH+1%(7d)
  SELL | 2023-05-01 20:00 | $    27,843 | Cap: $   120,319 | RSI<30+VP<VAL-1%(7d)
   BUY | 2023-05-28 22:00 | $    27,835 | Cap: $   120,319 | RSI>75+VP>VAH+1%(7d)
  SELL | 2023-05-31 15:00 | $    27,034 | Cap: $   116,856 | RSI<30+VP<VAL-1%(7d)
   BUY | 2023-06-16 21:00 | $    26,412 | Cap: $   116,856 | RSI>75+VP>VAH+1%(7d)
  SELL | 2023-07-24 15:00 | $    29,043 | Cap: $   128,497 | RSI<30+VP<VAL-1%(7d)
   BUY | 2023-08-02 01:00 | $    29,822 | Cap: $   128,497 | RSI>75+VP>VAH+1%(7d)
  SELL | 2023-08-17 | $    28,731 | Cap: $   123,794 | RSI<30+VP<VAL-1%(7d)
   BUY | 2023-08-29 15:00 | $    27,492 | Cap: $   123,794 | RSI>75+VP>VAH+1%(7d)
  SELL | 2023-09-11 19:00 | $    25,164 | Cap: $   113,309 | RSI<30+VP<VAL-1%(7d)
   BUY | 2023-09-12 14:00 | $    26,275 | Cap: $   113,309 | RSI>75+VP>VAH+1%(7d)
