
--- RSI|VP-buy m1% (346 entries, 5457%) ---
   BUY | 2020-01-08 23:00 | $     8,076 | Cap: $    22,870 | VP>VAH+1%(7d)
  SELL | 2020-01-09 11:00 | $     7,896 | Cap: $    22,359 | RSI<30
   BUY | 2020-01-09 12:00 | $     7,878 | Cap: $    22,359 | VP>VAH+1%(7d)
  SELL | 2020-01-09 13:00 | $     7,901 | Cap: $    22,425 | RSI<30
   BUY | 2020-01-09 14:00 | $     7,898 | Cap: $    22,425 | VP>VAH+1%(7d)
  SELL | 2020-01-19 23:00 | $     8,643 | Cap: $    24,543 | RSI<30
   BUY | 2020-01-26 21:00 | $     8,570 | Cap: $    24,543 | RSI>75
  SELL | 2020-01-31 15:00 | $     9,264 | Cap: $    26,532 | RSI<30
   BUY | 2020-02-05 16:00 | $     9,484 | Cap: $    26,532 | RSI>75
  SELL | 2020-02-15 16:00 | $     9,983 | Cap: $    27,928 | RSI<30
   BUY | 2020-02-19 11:00 | $    10,125 | Cap: $    27,928 | RSI>75
  SELL | 2020-02-20 | $     9,595 | Cap: $    26,465 | RSI<30
   BUY | 2020-02-23 05:00 | $     9,848 | Cap: $    26,465 | RSI>75
  SELL | 2020-02-24 20:00 | $     9,601 | Cap: $    25,800 | RSI<30
   BUY | 2020-03-02 16:00 | $     8,829 | Cap: $    25,800 | RSI>75
  SELL | 2020-03-07 19:00 | $     8,877 | Cap: $    25,940 | RSI<30
   BUY | 2020-03-19 13:00 | $     5,849 | Cap: $    25,940 | VP>VAH+1%(7d)
  SELL | 2020-03-28 | $     6,359 | Cap: $    28,204 | RSI<30
   BUY | 2020-03-30 17:00 | $     6,378 | Cap: $    28,204 | RSI>75
  SELL | 2020-04-01 13:00 | $     6,219 | Cap: $    27,503 | RSI<30
   BUY | 2020-04-02 10:00 | $     6,639 | Cap: $    27,503 | RSI>75
  SELL | 2020-04-10 06:00 | $     6,955 | Cap: $    28,809 | RSI<30
   BUY | 2020-04-12 17:00 | $     7,143 | Cap: $    28,809 | RSI>75
  SELL | 2020-04-13 14:00 | $     6,620 | Cap: $    26,701 | RSI<30
   BUY | 2020-04-16 09:00 | $     7,045 | Cap: $    26,701 | VP>VAH+1%(7d)
  SELL | 2020-04-20 19:00 | $     6,866 | Cap: $    26,021 | RSI<30
   BUY | 2020-04-22 16:00 | $     7,112 | Cap: $    26,021 | RSI>75
  SELL | 2020-05-04 02:00 | $     8,694 | Cap: $    31,807 | RSI<30
   BUY | 2020-05-06 11:00 | $     9,228 | Cap: $    31,807 | VP>VAH+1%(7d)
  SELL | 2020-05-10 01:00 | $     8,704 | Cap: $    30,001 | RSI<30
   BUY | 2020-05-13 21:00 | $     9,285 | Cap: $    30,001 | RSI>75
  SELL | 2020-05-15 21:00 | $     9,250 | Cap: $    29,889 | RSI<30
   BUY | 2020-05-15 23:00 | $     9,366 | Cap: $    29,889 | VP>VAH+1%(7d)
  SELL | 2020-05-21 10:00 | $     9,299 | Cap: $    29,674 | RSI<30
   BUY | 2020-05-27 13:00 | $     9,145 | Cap: $    29,674 | RSI>75
  SELL | 2020-06-02 21:00 | $     9,521 | Cap: $    30,894 | RSI<30
   BUY | 2020-06-04 14:00 | $     9,762 | Cap: $    30,894 | VP>VAH+1%(7d)
  SELL | 2020-06-07 18:00 | $     9,498 | Cap: $    30,058 | RSI<30
   BUY | 2020-06-11 02:00 | $     9,930 | Cap: $    30,058 | VP>VAH+1%(7d)
  SELL | 2020-06-11 16:00 | $     9,522 | Cap: $    28,821 | RSI<30
   BUY | 2020-06-16 03:00 | $     9,459 | Cap: $    28,821 | RSI>75
  SELL | 2020-06-17 20:00 | $     9,302 | Cap: $    28,345 | RSI<30
   BUY | 2020-06-22 17:00 | $     9,585 | Cap: $    28,345 | VP>VAH+1%(7d)
  SELL | 2020-06-24 11:00 | $     9,378 | Cap: $    27,734 | RSI<30
   BUY | 2020-07-06 07:00 | $     9,224 | Cap: $    27,734 | RSI>75
  SELL | 2020-07-09 16:00 | $     9,209 | Cap: $    27,686 | RSI<30
   BUY | 2020-07-21 08:00 | $     9,315 | Cap: $    27,686 | RSI>75
  SELL | 2020-08-02 23:00 | $    11,118 | Cap: $    33,045 | RSI<30
   BUY | 2020-08-05 13:00 | $    11,563 | Cap: $    33,045 | RSI>75
  SELL | 2020-08-07 18:00 | $    11,537 | Cap: $    32,970 | RSI<30
   BUY | 2020-08-09 05:00 | $    11,694 | Cap: $    32,970 | VP>VAH+1%(7d)
  SELL | 2020-08-11 15:00 | $    11,574 | Cap: $    32,634 | RSI<30
   BUY | 2020-08-17 14:00 | $    12,120 | Cap: $    32,634 | VP>VAH+1%(7d)
  SELL | 2020-08-19 | $    11,945 | Cap: $    32,164 | RSI<30
   BUY | 2020-08-23 02:00 | $    11,645 | Cap: $    32,164 | RSI>75
