date,funding_rate,open_interest_usd
2022-02-05,9.152333333333336e-05,3360519155.075819
2022-02-06,0.0001,3382594102.7322407
2022-02-07,-9.586666666666667e-06,3412511397.5891857
2022-02-08,0.0001,3331303863.22835
2022-02-09,6.387333333333332e-05,3222568153.263525
2022-02-10,6.067000000000001e-05,3315265867.08643
2022-02-11,-2.9953333333333337e-05,3114698983.472065
2022-02-12,0.0001,3119422911.85073
2022-02-13,7.599333333333332e-05,3091161974.6349707
2022-02-14,6.343e-05,3130243852.03897
2022-02-15,2.567333333333333e-05,3358128592.859702
2022-02-16,0.0001,3357636386.403326
2022-02-17,0.0001,3238115439.1515102
2022-02-18,-1.4323333333333334e-05,3042577847.287942
2022-02-19,6.223666666666667e-05,3043854136.319234
2022-02-20,6.956666666666665e-06,2994047247.6586747
2022-02-21,-4.903333333333335e-06,2873011024.4825306
2022-02-22,-1.9883333333333333e-05,2812728500.085249
2022-02-23,-6.186000000000001e-05,2851882602.127123
2022-02-24,-6.26e-05,2650421474.4501987
2022-02-25,5.739333333333333e-05,2664306695.316073
2022-02-26,8.982e-05,2703338914.505201
2022-02-27,2.2496666666666664e-05,2634391003.147022
2022-02-28,-0.0001184633333333,2758545338.628776
2022-03-01,8.123e-05,3143775933.862955
2022-03-02,6.497666666666666e-05,3206368225.812559
2022-03-03,0.0001,3236050147.749052
2022-03-04,0.0001,3133299296.4205823
2022-03-05,7.218666666666667e-05,3001847203.6476226
2022-03-06,1.704e-05,2949876558.479294
2022-03-07,-3.947333333333333e-05,1866446193.6925583
2022-03-08,7.792666666666667e-05,2632326011.610661
2022-03-09,8.925333333333334e-05,3044370455.116492
2022-03-10,3.120333333333333e-05,2856811218.530695
2022-03-11,-4.424e-05,2772654485.39574
2022-03-12,-2.3466666666666657e-06,2818495364.9562173
2022-03-13,-3.661e-05,2906498084.869265
2022-03-14,-4e-05,2974172508.559822
2022-03-15,6.421e-05,2904266488.149904
2022-03-16,8.623666666666666e-05,2983918820.6751046
2022-03-17,0.0001,3080906212.691675
2022-03-18,7.220666666666666e-05,3081791631.208409
2022-03-19,0.0001,3223191034.484584
2022-03-20,0.0001,3225651745.110268
2022-03-21,2.9843333333333336e-05,3107676728.8638773
2022-03-22,0.0001,3265112310.4708543
2022-03-23,9.004666666666667e-05,3158588857.541454
2022-03-24,5.19e-06,3357437546.190462
2022-03-25,5.143000000000001e-05,3598823587.767664
2022-03-26,4.209333333333333e-05,3590324824.1064367
2022-03-27,1.0176666666666669e-05,3686153671.259512
2022-03-28,0.0001,3749920028.1574097
2022-03-29,9.864666666666669e-05,3709083274.729808
2022-03-30,0.0001,3680088236.9833775
2022-03-31,0.0001,3556994023.690943
2022-04-01,8.939666666666668e-05,3469191854.291786
2022-04-02,0.0001,3398818623.411939
2022-04-03,0.0001,3370886122.709909
2022-04-04,0.0001,3454713677.9469843
2022-04-05,0.0001,3532436608.419462
2022-04-06,9.966e-05,3548226482.765928
2022-04-07,7.473666666666668e-05,3565037772.478747
2022-04-08,8.102000000000001e-05,3576517536.8290963
2022-04-09,9.759666666666667e-05,3552267073.515995
2022-04-10,6.317333333333333e-05,3620055932.452459
2022-04-11,6.747666666666667e-05,3584830636.142336
2022-04-12,-7.936e-05,3396489223.039557
2022-04-13,-8.08e-06,3372588298.4084263
2022-04-14,4.324666666666666e-05,3341365791.9904428
2022-04-15,-4.113666666666667e-05,3368717400.900955
2022-04-16,4.532333333333334e-05,3321180590.1753635
2022-04-17,6.852666666666667e-05,3329258261.37599
2022-04-18,-8.621333333333333e-05,3364850366.4545307
2022-04-19,3.741e-05,3287452330.528446
2022-04-20,7.569e-05,3373027714.742026
2022-04-21,9.699999999999992e-07,3428525138.9015512
2022-04-22,-4.791e-05,3378220709.316485
2022-04-23,-9.489333333333334e-05,3436366327.718328
2022-04-24,-0.00012401,3446598875.6668005
2022-04-25,-3.176333333333333e-05,3385395236.890171
2022-04-26,0.0001,3343836195.983189
2022-04-27,-7.235333333333334e-05,3357343852.074176
2022-04-28,-4.199999999999998e-06,3255827248.9074926
2022-04-29,7.542666666666667e-05,3159891069.382704
2022-04-30,3.6366666666666673e-06,3248172369.921421
2022-05-01,4.166e-05,3240827690.2337213
2022-05-02,9.666666666666668e-05,3145670783.0058384
2022-05-03,0.0001,3265009839.8264422
2022-05-04,7.501333333333334e-05,3369199262.252688
2022-05-05,0.0001,3342567878.135425
2022-05-06,-4.999e-05,3269796702.720021
2022-05-07,4.793333333333334e-06,3282742056.347813
2022-05-08,5.7803333333333336e-05,3197132926.750257
